,,,AE,AH,ER,AY,IH,IY,UH,UW,EH,EY,AA,AO,AW,OW,OY
,,,ア,ア,アー,アイ,イ,イー,ウ,ウー,エ,エイ,オ,オー,オー,オー,オイ
B,,ブ,バ,バ,バー,バイ,ビ,ビー,ブ,ブー,ベ,ベイ,ボ,ボー,ボー,ボー,ボイ
CH,,チ,チャ,チャ,チャー,チャイ,チ,チー,チュ,チュー,チェ,チェイ,チョ,チョー,チョー,チョー,チョイ
D,,ド,ダ,ダ,ダー,ダイ,ディ,ディー,ドゥ,ドゥー,ドェ,ドェイ,ド,ドー,ドー,ドー,ドイ
DH,,ズ,ザ,ザ,ザー,ザイ,ジ,ジー,ズ,ズー,ゼ,ゼイ,ゾ,ゾー,ゾー,ゾー,ゾイ
F,,フ,ファ,ファ,ファー,ファイ,フィ,フィー,フ,フー,フェ,フェイ,フォ,フォー,フォー,フォー,フォイ
G,,グ,ガ,ガ,ガー,ガイ,ギ,ギー,グ,グー,ゲ,ゲイ,ゴ,ゴー,ゴー,ゴー,ゴイ
HH,,ハ,ハ,ハ,ハー,ハイ,ヒ,ヒー,フ,フー,ヘ,ヘイ,ホ,ホー,ホー,ホー,ホイ
JH,,ジ,ジャ,ジャ,ジャー,ジャイ,ジ,ジー,ジュ,ジュー,ジェ,ジェイ,ジョ,ジョー,ジョー,ジョー,ジョイ
K,,ク,カ,カ,カー,カイ,キ,キー,ク,クー,ケ,ケイ,コ,コー,コー,コー,コイ
L,,ル,ラ,ラ,ラー,ライ,リ,リー,ル,ルー,レ,レイ,ロ,ロー,ロー,ロー,ロイ
M,,ム,マ,マ,マー,マイ,ミ,ミー,ム,ムー,メ,メイ,モ,モー,モー,モー,モイ
N,,ン,ナ,ナ,ナー,ナイ,ニ,ニー,ヌ,ヌー,ネ,ネイ,ノ,ノー,ノー,ノー,ノイ
NG,,ン,ンガ,ンガ,ンガー,ンガイ,ンギ,ンギー,ング,ングー,ンゲ,ンゲイ,ンゴ,ンゴー,ンゴー,ンゴー,ンゴイ
P,,プ,パ,パ,パー,パイ,ピ,ピー,プ,プー,ペ,ペイ,ポ,ポー,ポー,ポー,ポイ
R,,ル,ラ,ラ,ラー,ライ,リ,リー,ル,ルー,レ,レイ,ロ,ロー,ロー,ロー,ロイ
S,,ス,サ,サ,サー,サイ,シ,シー,ス,スー,セ,セイ,ソ,ソー,ソー,ソー,ソイ
SH,,シュ,シャ,シャ,シャー,シャイ,シ,シー,シュ,シュー,シェ,シェイ,ショ,ショー,ショー,ショー,ショイ
T,,ト,タ,タ,ター,タイ,ティ,ティー,トゥ,トゥー,テ,テイ,ト,トー,トー,トー,トイ
TH,,ス,サ,サ,サー,サイ,シ,シー,ス,スー,セ,セイ,ソ,ソー,ソー,ソー,ソイ
V,,ブ,バ,バ,バー,バイ,ビ,ビー,ブ,ブー,ベ,ベイ,ボ,ボー,ボー,ボー,ボイ
W,,ウ,ワ,ワ,ワー,ワイ,ウィ,ウィー,ウ,ウー,ウェ,ウェイ,ウォ,ウォー,ウォー,ウォー,ウォイ
Y,,イ,ヤ,ヤ,ヤー,ヤイ,イ,イー,ユ,ユー,エ,エイ,ヨ,ヨー,ヨー,ヨー,ヨイ
Z,,ズ,ザ,ザ,ザー,ザイ,ジ,ジー,ズ,ズー,ゼ,ゼイ,ゾ,ゾー,ゾー,ゾー,ゾイ
ZH,,ズ,ザ,ザ,ザー,ザイ,ジ,ジー,ズ,ズー,ゼ,ゼイ,ゾ,ゾー,ゾー,ゾー,ゾイ
B,Y,ビー,ビャ,ビャ,ビャー,ビャイ,ビ,ビー,ビュ,ビュー,ビェ,ビェイ,ビョ,ビョー,ビョー,ビョー,ビョイ
CH,Y,チー,チャ,チャ,チャー,チャイ,チ,チー,チュ,チュー,チェ,チェイ,チョ,チョー,チョー,チョー,チョイ
D,Y,ディー,デャ,デャ,デャー,デャイ,ディ,ディー,デュ,デュー,デェ,デェイ,デョ,デョー,デョー,デョー,デョイ
DH,Y,ジー,ジャ,ジャ,ジャー,ジャイ,ジ,ジー,ジュ,ジュー,ジェ,ジェイ,ジョ,ジョー,ジョー,ジョー,ジョイ
F,Y,フィー,フャ,フャ,フャー,フャイ,フィ,フィー,フュ,フュー,フェ,フェイ,フョ,フョー,フョー,フョー,フョイ
G,Y,ギー,ギャ,ギャ,ギャー,ギャイ,ギ,ギー,ギュ,ギュー,ギェ,ギェイ,ギョ,ギョー,ギョー,ギョー,ギョイ
HH,Y,ヒー,ヒャ,ヒャ,ヒャー,ヒャイ,ヒ,ヒー,ヒュ,ヒュー,ヒェ,ヒェイ,ヒョ,ヒョー,ヒョー,ヒョー,ヒョイ
JH,Y,ジー,ジャ,ジャ,ジャー,ジャイ,ジ,ジー,ジュ,ジュー,ジェ,ジェイ,ジョ,ジョー,ジョー,ジョー,ジョイ
K,Y,キー,キャ,キャ,キャー,キャイ,キ,キー,キュ,キュー,キェ,キェイ,キョ,キョー,キョー,キョー,キョイ
L,Y,リー,リャ,リャ,リャー,リャイ,リ,リー,リュ,リュー,リェ,リェイ,リョ,リョー,リョー,リョー,リョイ
M,Y,ミー,ミャ,ミャ,ミャー,ミャイ,ミ,ミー,ミュ,ミュー,ミェ,ミェイ,ミョ,ミョー,ミョー,ミョー,ミョイ
N,Y,ニー,ニャ,ニャ,ニャー,ニャイ,ニ,ニー,ニュ,ニュー,ニェ,ニェイ,ニョ,ニョー,ニョー,ニョー,ニョイ
NG,Y,ニー,ニャ,ニャ,ニャー,ニャイ,ニ,ニー,ニュ,ニュー,ニェ,ニェイ,ニョ,ニョー,ニョー,ニョー,ニョイ
P,Y,ピー,ピャ,ピャ,ピャー,ピャイ,ピ,ピー,ピュ,ピュー,ピェ,ピェイ,ピョ,ピョー,ピョー,ピョー,ピョイ
R,Y,リー,リャ,リャ,リャー,リャイ,リ,リー,リュ,リュー,リェ,リェイ,リョ,リョー,リョー,リョー,リョイ
S,Y,シー,シャ,シャ,シャー,シャイ,シ,シー,シュ,シュー,シェ,シェイ,ショ,ショー,ショー,ショー,ショイ
SH,Y,シー,シャ,シャ,シャー,シャイ,シ,シー,シュ,シュー,シェ,シェイ,ショ,ショー,ショー,ショー,ショイ
T,Y,ティー,チャ,チャ,チャー,チャイ,ティ,ティー,チュ,チュー,チェ,チェイ,チョ,チョー,チョー,チョー,チョイ
TH,Y,シー,テャ,テャ,テャー,テャイ,シ,シー,テュ,テュー,テェ,テェイ,テョ,テョー,テョー,テョー,テョイ
V,Y,ビー,ビャ,ビャ,ビャー,ビャイ,ビ,ビー,ビュ,ビュー,ビェ,ビェイ,ビョ,ビョー,ビョー,ビョー,ビョイ
W,Y,,,,,,,,,,,,,,,,
Z,Y,ジー,ジャ,ジャ,ジャー,ジャイ,ジ,ジー,ジュ,ジュー,ジェ,ジェイ,ジョ,ジョー,ジョー,ジョー,ジョイ
ZH,Y,ジー,ジャ,ジャ,ジャー,ジャイ,ジ,ジー,ジュ,ジュー,ジェ,ジェイ,ジョ,ジョー,ジョー,ジョー,ジョイ
